base,direccion,latitud,longitud,estado
VITARTE,Calle Las Praderas Lt. 12A,-12.046926,-76.891332,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 5",-12.020417,-76.885079,PENDIENTE
SANTA CLARA,"MZ. \""E\"" LOTE 24",-12.020417,-76.885079,PENDIENTE
SANTA CLARA,"MZ. \""E\"" LOTE 18",-12.024671,-76.882795,PENDIENTE
SANTA CLARA,JR. RAMON CASTILLA 141,-12.018955586843973,-76.88249189267998,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.028892263606888,-76.8847500323606,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 8",-12.027259,-76.884792,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.027259,-76.884792,PENDIENTE
SANTA CLARA,MZ E - LT. 15,-12.013407,-76.885095,PENDIENTE
SANTA CLARA,MZ E- LT. 03,-12.012944,-76.885189,PENDIENTE
SANTA CLARA,"MZ. \""D\"" LOTE 09",-12.012944,-76.885189,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 13",-12.022862,-76.892329,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 20",-12.020553,-76.88756,PENDIENTE
SANTA CLARA,AV. ALFONSO UGARTE N 2990,-12.020553,-76.88756,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.017683,-76.882399,PENDIENTE
SANTA CLARA,"MZ \""B\"" LOTE 13",-12.024651,-76.888536,PENDIENTE
SANTA CLARA,AV. INDEPENDENCIA (CASETA DE VIGILANCIA N 6,-12.014844443170842,-76.88024556304502,PENDIENTE
SANTA CLARA,CARRETERA CENTRAL 10.5 N 8510,-12.016031088095344,-76.8892627305122,PENDIENTE
SANTA CLARA,MZ B LT.,-12.033332,-76.877638,PENDIENTE
SANTA CLARA,MZ F - LT.11,-12.017122,-76.881246,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.020988,-76.889703,PENDIENTE
SANTA CLARA,AV. GUADALUPE N 555,-12.020988,-76.889703,PENDIENTE
SANTA CLARA,AV. 28 DE JULIO,-12.017045264613827,-76.88703813697559,PENDIENTE
SANTA CLARA,JR. TUPAC AMARU 298,-12.017983540263971,-76.8854764996863,PENDIENTE
SANTA CLARA,GARITA PEDRO RUIZ GALLO 2991,-12.014003416429508,-76.88589281701873,PENDIENTE
SANTA CLARA,MZ A LT. 3,-12.012555,-76.884068,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 1",-12.03261,-76.882024,PENDIENTE
SANTA CLARA,"MZ. \""N\"" LOTE 7",-12.03261,-76.882024,PENDIENTE
SANTA CLARA,"MZ. \""W\"" LOTE 17",-12.046926,-76.884174,PENDIENTE
SANTA CLARA,"MZ. \""Q\"" LOTE 21",-12.047405,-76.884406,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 28",-12.017358,-76.881868,PENDIENTE
SANTA CLARA,"MZ. \""M\"" LOTE 26",-12.017033,-76.880484,PENDIENTE
SANTA CLARA,"MZ \""J\"" LOTE 7",-12.018397,-76.883005,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 1",-12.047277,-76.889706,PENDIENTE
SANTA CLARA,"MZ. \""D\"" LOTE 4",-12.046555,-76.889791,PENDIENTE
SANTA CLARA,"MZ. \""J\"" LOTE 30",-12.046309,-76.893359,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 19-18",-12.049588,-76.889309,PENDIENTE
SANTA CLARA,"MZ. \""I\"" LOTE 8",-12.049619,-76.889872,PENDIENTE
SANTA CLARA,"MZ. \""E\"" LOTE 15",-12.049619,-76.889872,PENDIENTE
SANTA CLARA,"MZ. \""E\"" LOTE 14",-12.049989,-76.889711,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.049989,-76.889711,PENDIENTE
SANTA CLARA,"MZ \""D\"" LOTE 50",-12.019646,-76.884339,PENDIENTE
SANTA CLARA,"MZ \""H\"" LOTE 20",-12.019646,-76.884339,PENDIENTE
SANTA CLARA,"MZ \""E\"" LOTE 3",-12.021048,-76.884513,PENDIENTE
SANTA CLARA,"MZ \""H\"" LOTE 1",-12.021048,-76.884513,PENDIENTE
SANTA CLARA,"MZ \""A6\"" LOTE 4",-12.021048,-76.884513,PENDIENTE
SANTA CLARA,MZ K - LT. 2,-12.021048,-76.884513,PENDIENTE
SANTA CLARA,MZ C - LT.15,-12.019227685288826,-76.88657622817374,PENDIENTE
SANTA CLARA,MZ H LT. 11,-12.020687,-76.887517,PENDIENTE
SANTA CLARA,MZ A LT. 14,-12.020687,-76.887517,PENDIENTE
SANTA CLARA,MZ K LT. 6,-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""H1\"" LOTE 7",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""V2\"" LOTE 14",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""L\"" LOTE 19",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 32",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""G\"" LOTE 46",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.018401010678144,-76.87511683555023,PENDIENTE
SANTA CLARA,AV. MARIANO MELGAR 479,-12.01889840174185,-76.88155734003196,PENDIENTE
SANTA CLARA,"MZ. \""K\"" LOTE 3",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""G\"" LOTE 2",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""U\"" LOTE 19",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""T\"" LOTE 6",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 14",-12.020687,-76.887517,PENDIENTE
SANTA CLARA,"MZ. \""D\"" LOTE 2",-12.022516,-76.878945,PENDIENTE
SANTA CLARA,"MZ. \""K\"" LOTE 9",-12.022516,-76.878945,PENDIENTE
SANTA CLARA,5TA. ZONA,-12.022516,-76.878945,PENDIENTE
SANTA CLARA,MZ F - LT. 21,-12.022516,-76.878945,PENDIENTE
SANTA CLARA,MZ D - LT. 1,-12.023131,-76.881329,PENDIENTE
SANTA CLARA,MZ G LOTE 6,-12.030144,-76.890473,PENDIENTE
SANTA CLARA,CASETA DE VIGILANCIA,-12.030144,-76.890473,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 10",-12.020595,-76.885162,PENDIENTE
SANTA CLARA,"MZ. \""F\"" LOTE 28",-12.020595,-76.885162,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 7",-12.013885,-76.873097,PENDIENTE
SANTA CLARA,"MZ. \""X\"" LOTE 19-20",-12.013885,-76.873097,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 1",-12.013885,-76.873097,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 6",-12.013885,-76.873097,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 7",-12.013885,-76.873097,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 1",-12.012883,-76.869332,PENDIENTE
SANTA CLARA,MZ A- LT. 22,-12.009818,-76.86438,PENDIENTE
SANTA CLARA,MZ C- LT. 23,-12.011977,-76.873232,PENDIENTE
SANTA CLARA,MZ B LOTE 10,-12.011198,-76.878021,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 28",-12.013086,-76.850733,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 2",-12.011118,-76.859521,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 1",-12.011062,-76.859576,PENDIENTE
SANTA CLARA,"MZ. \""O\"" LOTE 12",-12.010772,-76.8521,PENDIENTE
SANTA CLARA,"MZ. \""B\"" LOTE 6",-12.01262,-76.881167,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 26",-12.012691,-76.849878,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 7",-12.012691,-76.849878,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 26",-12.009997,-76.860743,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 01",-12.009997,-76.860743,PENDIENTE
SANTA CLARA,MERCADO,-12.039856,-76.87902,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 22",-12.009881,-76.864374,PENDIENTE
SANTA CLARA,"MZ. \""A\"" LOTE 2",-12.016216,-76.871074,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 1",-12.010952,-76.880237,PENDIENTE
SANTA CLARA,"MZ. \""C\"" LOTE 4",-12.02569,-76.890478,PENDIENTE
HUAYCAN,"MZ. E LT. 02 GRUPO \""C\"" HORACIO ZEBALLOS",-12.015322,-76.837832,PENDIENTE
HUAYCAN,"MZ. H LT. 02 GRUPO \""D\"" HORACIO ZEBALLOS",-12.015842,-76.84026,PENDIENTE
HUAYCAN,MZ. E LT 03 AA.HH. SR DE LOS MILAGROS,-12.026566,-76.821406,PENDIENTE
HUAYCAN,"MZ. G LT. 01 GRUPO \""G\"" HORACIO ZEBALLOS",-12.019911,-76.839103,PENDIENTE
HUAYCAN,"MZ. B1 LT. 13 GRUPO \""I\"" HORACIO ZEBALLOS",-12.024064,-76.838239,PENDIENTE
HUAYCAN,"MZ. A LT. 12 GRUPO \""I\"" HORACIO ZEBALLOS",-12.02268,-76.83795,PENDIENTE
HUAYCAN,"I.E AKIRA KATO GRUPO \""K\"" HORACIO ZEBALLOS",-12.023074,-76.837168,PENDIENTE
HUAYCAN,"MZ. D LT. 12 ASOC. LOS JARDINES GRUPO \""L\""",-12.00605,-76.833591,PENDIENTE
HUAYCAN,"MZ. R LT. 16 ASOC. VIV. 24 DE SETIEMBRE GRUPO \""M\""",-12.02664,-76.833827,PENDIENTE
HUAYCAN,"MZ. U LT. 7 ASOC. VIV. 24 DE SETIEMBRE GRUPO \""M\""",-12.026986,-76.833932,PENDIENTE
HUAYCAN,MZ. B LT. 04 AA.HH. LAS LOMAS,-12.006353,-76.823487,PENDIENTE
HUAYCAN,MZ. B LT. 06 AA.HH. FUNDO RODOLFO PARIACHI,-12.010388,-76.845469,PENDIENTE
HUAYCAN,MZ. K LT. 01 AA.HH. SAN FRANCISCO DE PARIACHI,-12.012313,-76.843321,PENDIENTE
HUAYCAN,MZ. F LT. 02 ASOCIACION DE PROPIETARIOS MIRADOR DEL CIELO,-12.012313,-76.843321,PENDIENTE
HUAYCAN,MZ. C LT. 12 URB. VILLA HERMOSA,-12.007542,-76.831791,PENDIENTE
HUAYCAN,"MZ. L1 LT. 29 PARQUE N 4 ASOC. CIVIL DE PARIACHI, III ETAPA",-12.006681,-76.845016,PENDIENTE
HUAYCAN,"MZ. P2 LT. 9 RESIDENCIAL LAS PALMERAS DE PARIACHI, SECTOR 4",-11.99753,-76.834062,PENDIENTE
HUAYCAN,MZ. A LT. 11 NUEVO AMANECER,-12.00588,-76.845991,PENDIENTE
HUAYCAN,MZ. Q1 LT. 5 II ETAPA RESIDENCIAL DE PARIACHI,-12.000925,-76.83433,PENDIENTE
HUAYCAN,MZ. E1 LT. 19 ASOC. CIVIL DE PARIACHI III ETAPA,-12.007293,-76.844012,PENDIENTE
HUAYCAN,MZ. F LT. 27 IV ETAPA FILADELFIA,-12.007293,-76.844012,PENDIENTE
HUAYCAN,MZ. O LT. 7 ASOC. PARIACHI I ETAPA,-12.001132,-76.832276,PENDIENTE
HUAYCAN,MZ. D LT. 16 PARQUE VIENA ASOC. PRADERAS DE PARIACHI II ETAPA,-12.001132,-76.832276,PENDIENTE
HUAYCAN,"MZ \""B\"" LT. 10 ASOC. PROP. LAS PONCIANAS DE PARIACHI",-12.001132,-76.832276,PENDIENTE
HUAYCAN,"CALLE PORTADA DEL SOL MZ \""C\"" LT 20 COOP. VIV. JAVIER LUNA PIZARRO URB. EL DESCANSO (CASETA VIGILANCIA)",-12.001132,-76.832276,PENDIENTE
HUAYCAN,"MZ. J1 LT. 5 RESIDENCIAL PARIACHI, III ETAPA",-12.001132,-76.832276,PENDIENTE
HUAYCAN,"MZ \""G\"" 41 IV ETAPA DE FILADELFIA",-11.997307,-76.834054,PENDIENTE
HUAYCAN,MZ. A LT. 6 ASOC. EL SERVIDOR DE ATE,-12.03056,-76.835606,PENDIENTE
HUAYCAN,ASOC. DE PROPIETARIOS PARQUE INDUSTRIAL LAS MADERAS DE PARIACHI LT. 27-28,-12.004732,-76.822972,PENDIENTE
HUAYCAN,"MZ. H LT. 1 ASOC. PROP. GIRASOLES DE ATE, C.C. KM 17.5 COSTADO DEL CLUB VILLA TUSAN",-11.99663,-76.832335,PENDIENTE
HUAYCAN,"MZ. B LT. 19 ASOC. PROP. GIRASOLES DE ATE, C.C. KM 17.5 COSTADO DEL CLUB VILLA TUSAN",-11.996352,-76.831979,PENDIENTE
HUAYCAN,"MZ. F1 LT. 15 SUB ESTACION G III ETAPA DE PARIACHI, ATE",-12.007289,-76.844375,PENDIENTE
HUAYCAN,"AV. NN6 MZ. V1 LT. 05 SUB ESTACION \""H\"" PARQUE N 3 ASOC. CIVIL PARIACHI III ETAPA",-12.006321,-76.845099,PENDIENTE
HUAYCAN,"MZ. D LT. 62 I ETAPA, PARIACHI, ATE.",-12.004344,-76.834723,PENDIENTE
HUAYCAN,"AV. EL POZO MZ. \""L\"" LT. 1 ASOC. FILADELFIA IV ETAPA REF. COSTADO CLUB VILLA TUSAN",-11.997156,-76.833825,PENDIENTE
HUAYCAN,"MZ \""F\"" LT 16 URB. EL LUCUMO PARQUE N 3 REF VENTA DE POLLO BROSTHER",-12.008386,-76.829776,PENDIENTE
HUAYCAN,MZ. G LT. 28 URB. EL LUCUMO PARQUE N 3 REF. BODEGA,-12.008861,-76.830769,PENDIENTE
HUAYCAN,MZ. C LT. 29 URB. EL DESCANSO,-12.004188,-76.833318,PENDIENTE
HUAYCAN,"MZ. N1 LT. 01 III ETAPA \""PARIACHI\"" NN-6",-12.007936,-76.845901,PENDIENTE
HUAYCAN,UCV 3 LT. 19 ZONA A,-12.00928,-76.826876,PENDIENTE
HUAYCAN,UCV 10 LT. 46 ZONA A,-12.010305,-76.826029,PENDIENTE
HUAYCAN,UCV 5 LT. 44 ZONA A,-12.010611,-76.827749,PENDIENTE
HUAYCAN,UCV 30 LT. 25 ZONA B,-12.01195,-76.822286,PENDIENTE
HUAYCAN,UCV 35 LT. 35 ZONA B,-12.014134,-76.822194,PENDIENTE
HUAYCAN,UCV 40 LT. 10 ZONA B,-12.013377,-76.820556,PENDIENTE
HUAYCAN,UCV 40 LT. 41 ZONA B,-12.013377,-76.820556,PENDIENTE
HUAYCAN,UCV 28 LT. 10 ZONA B,-12.013377,-76.820556,PENDIENTE
HUAYCAN,"ASOCIACION DE PEQUENAS EMPRESAS PARQUE INDUSTRIAL DE HUAYCAN MZ. B LT. 1 ZONA \""C\"" ATE",-12.013377,-76.820556,PENDIENTE
HUAYCAN,UCV 47-B LT. 150 ZONA C- HUAYCAN,-12.015387,-76.839083,PENDIENTE
HUAYCAN,I.E N 53 FE Y ALEGRIA UCV 56 ZONA C- HUAYCAN,-12.015934,-76.838742,PENDIENTE
HUAYCAN,"UCV 43 LT. 36 ZONA \""C\"" HUAYCAN",-12.015348,-76.837094,PENDIENTE
HUAYCAN,INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO DE HUAYCAN,-12.016394,-76.840342,PENDIENTE
HUAYCAN,UCV 71 LT. 147 ZONA D,-12.016394,-76.840342,PENDIENTE
HUAYCAN,"PODER JUDICIAL - AV. JOSE C. MARIATEGUI S/N MZ. C LT. 3 PLAZA DE ARMAS DE HUAYCAN, ATE",-12.016394,-76.840342,PENDIENTE
HUAYCAN,"I.E N 1257 REINO UNIDO GRAN BRETANA CALLE 7 S/N ZONA \""D\"" - HUAYCAN",-12.009649,-76.829133,PENDIENTE
HUAYCAN,UCV 80 LT. 52 ZONA E,-12.017407,-76.824067,PENDIENTE
HUAYCAN,"UCV 85 LT. 14 ZONA \""E\""",-12.017558,-76.823886,PENDIENTE
HUAYCAN,UCV 94 LT. 44 ZONA F,-12.017446,-76.82075,PENDIENTE
HUAYCAN,UCV 98 LT. 39 ZONA F,-12.017408,-76.820683,PENDIENTE
HUAYCAN,UCV 102 LT. 51 ZONA F,-12.016274,-76.819577,PENDIENTE
HUAYCAN,UCV 100 LT. 44 ZONA F,-12.016873,-76.818683,PENDIENTE
HUAYCAN,UCV 111 LT. 5 ZONA G,-12.021651,-76.822318,PENDIENTE
HUAYCAN,"I.E N 1248 - 5 ABRIL AV. 15 DE JULIO S/N ZONZ\""G\"" HUAYCAN",-12.021651,-76.822318,PENDIENTE
HUAYCAN,UCV 113 LT. 59 ZONA G,-12.021194,-76.822245,PENDIENTE
HUAYCAN,UVC 9 LT. 26 PARQUE LAS PIEDRITAS ZONA H,-12.021128,-76.839319,PENDIENTE
HUAYCAN,UCV 123 LT. 2 ZONA H,-12.020673,-76.838854,PENDIENTE
HUAYCAN,PUESTO DE SALUD SISOL UCV 124 CALLE 11,-12.018167,-76.814295,PENDIENTE
HUAYCAN,UCV 152 LT 04 CALLE 06 ZONA J,-12.025228,-76.821223,PENDIENTE
HUAYCAN,UCV 153 LT. 30 ZONA J,-12.030706,-76.825467,PENDIENTE
HUAYCAN,UCV 144 LT 51 ZONA J,-12.028555,-76.822382,PENDIENTE
HUAYCAN,UCV 160 LT. 2 ZONA K,-12.026565,-76.821291,PENDIENTE
HUAYCAN,UCV 165-B LT. 39 ZONA K CASA NATURISTA PERUANO ITALIANA ANNA MARGOTTINI,-12.030701,-76.82007,PENDIENTE
HUAYCAN,"UCV 170 LT. 42 ZONA \""L\""",-12.020071,-76.815763,PENDIENTE
HUAYCAN,"UCV 171-B LT. 57 ZONA \""M\""",-12.021849,-76.814357,PENDIENTE
HUAYCAN,"I.E N 1270 JUAN EL BAUTISTA CALLE ALTO PERU UCV 171-B LT. 80 ZONZ \""M\""",-12.021519,-76.815881,PENDIENTE
HUAYCAN,"UCV 177-A LT. 5 ZONA \""N\""",-12.009425,-76.816339,PENDIENTE
HUAYCAN,"UCV 177-D LT. 5 ZONA \""N\"" AMPLIACION",-12.009084,-76.81459,PENDIENTE
HUAYCAN,"UCV 179 CENTRO DE DESARROLLO EMPRESARIAL, ZONA \""O\""",-12.012484,-76.817967,PENDIENTE
HUAYCAN,"I.E MANUEL GONZALES PRADA AV. ANDRES A. CACERES ZONA \""O\"" HUAYCAN",-12.015837,-76.818439,PENDIENTE
HUAYCAN,MZ. D LT. 1 ASOC. POBLADORES AA.HH. SENOR DE MURUHUAY AMPLIACION ZONA P,-12.016129,-76.818083,PENDIENTE
HUAYCAN,UCV 196 LT. 63 ZONA Q,-12.012166,-76.813568,PENDIENTE
HUAYCAN,UCV 203-B LT. 46 ZONA R,-12.032566,-76.82154,PENDIENTE
HUAYCAN,"UCV 205C LT. 249 ZONA R, HUAYCAN, ATE 1RA. AMPLIACION 12 DE AGOSTO",-12.034622,-76.823257,PENDIENTE
HUAYCAN,"UCV 205C LT. 256 ZONA R, HUAYCAN, ATE 2DA. AMPLIACION 12 DE AGOSTO",-12.034795,-76.823849,PENDIENTE
HUAYCAN,UCV 210 LT. 37 ZONA S,-12.023334,-76.808443,PENDIENTE
HUAYCAN,UCV 217-E LT. 8 ZONA S (COMEDOR 16 DE ABRIL CLUB DE MADRES),-12.020531,-76.810267,PENDIENTE
HUAYCAN,"ASOCIACION PROD. Y COM. AGRO. EL RENANCER DE JULIO LT. 4 ZONA \""S\"" HUAYCAN",-12.02568,-76.807609,PENDIENTE
HUAYCAN,UCV 231-C MZ. B LT. 1 AMPLIACION CERRITOS DE LA PAZ,-12.01107,-76.821497,PENDIENTE
HUAYCAN,UCV 232 LT. 24 ZONA Z,-12.012043,-76.807582,PENDIENTE
HUAYCAN,UCV 234 LT. 51 ZONA Z,-12.012043,-76.807582,PENDIENTE
HUAYCAN,"UCV 233-B LT. 267 LOS ALAMOS, ZONA Z",-12.012043,-76.807582,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Paris,-12.047,-76.935861,PENDIENTE
MAYORAZGO,Alpamayo - Puerta N 1,-12.064306,-76.937806,PENDIENTE
MAYORAZGO,Cooperativa 27 de Abril - Calle Huaran 183,-12.057623984893022,-76.95817383249079,PENDIENTE
MAYORAZGO,Calle Sacsayhuaman - MF-2 Lt. 21,-12.057309913855,-76.958056933407,PENDIENTE
MAYORAZGO,Pasaje San Francisco - Mz. A Lt. 29,-12.057955,-76.96779,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Parque N 2,-12.05591745836331,-76.940035976668,PENDIENTE
MAYORAZGO,Asociacion Los Claveles - Los Clavelitos - Mz. B1 Lt. 12,-12.052769,-76.952901,PENDIENTE
MAYORAZGO,Los Claveles - Calle 4 - Mz. G Lt. 14,-12.051434,-76.950919,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Santander con Av. Huarochiri,-12.054340996509877,-76.94557644598453,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Linares con Av. Huarochiri,-12.052261210693464,-76.94741778831363,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle 04 Santa Raquel con Av. Huarochiri,-12.05332417,-76.94845753,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle 05 La Merced con Av. Ate,-12.055743055493783,-76.95473225630487,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Murcia - Parque Fronton,-12.05465731498493,-76.94408992603157,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Toledo con Huarochiri,-12.051826418065513,-76.94773987666812,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Madrid con Calle Barcelona,-12.061700416592135,-76.94079607666791,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Burgos con Calle Bilbao,-12.059977915515312,-76.93945640365533,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Lerida con Oviedo,-12.056039259910794,-76.93917452879474,PENDIENTE
MAYORAZGO,Vivienda - Calle San Sebastian N 162,-12.05609425427428,-76.93875735424098,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Guadalajara Cdra. 3,-12.05808099323152,-76.96369844413637,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Fuente de Maestre - Mz. H Lt. 12,-12.051809763921504,-76.93946244598465,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Ibiza con Calle Navarra,-12.05014022307863,-76.93830081714931,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Cordova,-12.056873968471818,-76.94191527666815,PENDIENTE
MAYORAZGO,Vivienda - Calle Amsterdam - Mz. O Lt. 17,-12.043418419802181,-76.9341665036556,PENDIENTE
MAYORAZGO,Vivienda - Calle Siena N 140,-12.043612434585885,-76.93502567482015,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Bruselas con Calle Berna,-12.043649163920003,-76.93644214598476,PENDIENTE
MAYORAZGO,Caseta de vigilancia - Calle Paris,-12.046999999999999,-76.93586111111111,PENDIENTE
MAYORAZGO,Alpamayo - Puerta N 1,-12.064305555555556,-76.93780555555556,PENDIENTE
SALAMANCA,Condominio Amaral,-12.079222,-76.980806,REALIZADA
SALAMANCA,Calle Los Abetos Cuadra 4,-12.079917,-76.979861,PENDIENTE
SALAMANCA,Av. Marginal con Calle Venecia,-12.082194,-76.980194,REALIZADA
SALAMANCA,Parque Trebol,-12.082833,-76.983389,PENDIENTE
SALAMANCA,Av. Marginal Mz B Lt16,-12.08275,-76.980417,REALIZADA
SALAMANCA,Calle Fucsia N 105,-12.081444,-76.984583,REALIZADA
SALAMANCA,Av. Tepsicore N 186,-12.073389,-76.982028,PENDIENTE
SALAMANCA,Calle Atenea N 110,-12.073361,-76.980694,REALIZADA
SALAMANCA,Condominio Amaral,-12.079222222222223,-76.98080555555556,PENDIENTE
SALAMANCA,Calle Los Abetos Cuadra 4,-12.079916666666668,-76.9798611111111,PENDIENTE
SALAMANCA,Av. Marginal con Calle Venecia,-12.082194444444445,-76.98019444444444,PENDIENTE
SALAMANCA,Parque Trebol,-12.082833333333333,-76.9833888888889,PENDIENTE
SALAMANCA,Av. Marginal - Mz. B Lt. 16,-12.08275,-76.98041666666667,PENDIENTE
SALAMANCA,Calle Fucsia N 105,-12.081444444444445,-76.98458333333333,PENDIENTE
SALAMANCA,Av. Tepsicore N 186,-12.07338888888889,-76.98202777777777,PENDIENTE
SALAMANCA,Calle Atenea N 110,-12.073361111111112,-76.98069444444444,PENDIENTE
